brand,model,spec,Model Year,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,Trim,Model Year,Body Style,Number of Cylinders,Engine Type,Fuel,Model Drive,Transmission Type,Car Weight in Kg,Displacement in Litres,Engine Power (HP),Engine Torque (lbf),Weight in lbs,Country of Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda,2,1.3,2011,43,52.9,60.8,65.2,66.1,67.3,1.5 Touring Automatic,2011,Hatchback,4,in-line,Gasoline,Front,4-speed automatic,1046,1.5,100,98,2306,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda,2,1.3,2011,44.2,54.4,62.6,67.1,68,69.3,1.5 Touring Automatic,2011,Hatchback,4,in-line,Gasoline,Front,4-speed automatic,1046,1.5,100,98,2306,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Yaris,1.3,2012,45.2,55.7,64,67.4,69.7,72.2,SE Hatchback Automatic,2012,Hatchback,4,in-line,Gasoline,Front,4-speed automatic,1041,1.5,106,103,2295,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Yaris,1.5,2012,45.7,55.7,61.5,65.4,70.4,73.2,SE Hatchback Automatic,2012,Hatchback,4,in-line,Gasoline,Front,4-speed automatic,1041,1.5,106,103,2295,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Civic,Si,2012,43.8,55.3,62.5,66.1,70,73.9,DX Coupe Automatic,2012,Coupe,4,in-line,Gasoline,Front,5-speed automatic,1177,1.8,140,128,2595,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda,3,1.6 CITD,2011,44.7,55,63.3,67,68.8,71,2.0 i Touring Hatchback Automatic,2011,Hatchback,4,in-line,Gasoline,Front,5-speed automatic,1300,2,148,135,2866,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,2.4,2012,40.6,51.1,57.6,61.2,63.6,66.1,Sedan LX-P,2012,Sedan,4,in-line,Gasoline,Front,5-speed automatic,1491,2.4,177,161,3287,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda,6,2.2 CiTD Stationcar,2011,43.1,53,61,65,66.3,68,2.5i Sport Automatic,2011,Sedan,4,in-line,Gasoline,Front,5-speed automatic,1484,2.5,170,167,3272,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,Crosstour,2010,42.3,51.7,57.6,60.7,63.1,65.5,Sedan LX Automatic,2010,Sedan,4,in-line,Gasoline,Front,5-speed automatic,1459,2.4,177,161,3217,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,Accord,3.5 V6,2012,47.8,57.7,63.9,67.2,69.5,71.9,Sedan LX Automatic,2012,Sedan,4,in-line,Gasoline,Front,5-speed automatic,1459,2.4,177,161,3217,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
